Brand;Year;Model;Used or New;Transmission;Cylinder.Enginer;Cylinder.Engine2;Liters.Engine;Liters.Engine2;Engine2;Drive Type;Fuel Type;Kilometres;Location;Country;Body Type;Doors;Doors2;Seats;Seats2;Price
Toyota;2021;Landcruiser;USED;Automatic;8;8 cyl;4.5;4.5 L;8 cyl, 4.5 L;4WD;Diesel;50882;Mandurah, WA;Asia;SUV;4; 4 Doors;7; 7 Seats;124789
MG;2021;ZS;USED;Automatic;0;0 L;0;0 L;0 L;Front;Electric;14685;Victoria Park, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;36999
Nissan;2021;Patrol;USED;Automatic;8;8 cyl;5.6;5.6 L;8 cyl, 5.6 L;4WD;Premium;21604;Bentley, WA;Asia;SUV;4; 4 Doors;8; 8 Seats;92995
Land;2021;Rover;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;AWD;Diesel;35000;Osborne Park, WA;Europe;SUV;4; 4 Doors;7; 7 Seats;119990
MG;2021;ZS;USED;Automatic;0;0 L;0;0 L;0 L;Front;Electric;9957;Victoria Park, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;36999
Volkswagen;2021;T-ROC;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Premium;19736;Victoria Park, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;45999
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;37981;Morley, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;26990
Ford;2021;Ranger;USED;Automatic;5;5 cyl;3.2;3.2 L;5 cyl, 3.2 L;4WD;Diesel;86782;Bibra Lake, WA;North America;Ute / Tray;4; 4 Doors;5; 5 Seats;57887
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;9630;Victoria Park, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;27977
Toyota;2021;Landcruiser;USED;Automatic;6;6 cyl;3.3;3.3 L;6 cyl, 3.3 L;4WD;Diesel;21799;Midland, WA;Asia;SUV;4; 4 Doors;7; 7 Seats;126990
Mitsubishi;2021;ASX;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;85836;Wangara, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;22888
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;34130;Bentley, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;28588
Toyota;2021;Camry;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;Front;Hybrid;67694;Cannington, WA;Asia;Sedan;4; 4 Doors;5; 5 Seats;40998
MG;2021;ZST;USED;Automatic;3;3 cyl;1.3;1.3 L;3 cyl, 1.3 L;Front;Unleaded;7759;Welshpool, WA;Europe;SUV;5; 5 Doors;5; 5 Seats;29999
Mazda;2021;BT-50;USED;Automatic;4;4 cyl;3;3 L;4 cyl, 3 L;4WD;Diesel;38592;KINGSLEY, WA;Asia;Ute / Tray;4; 4 Doors;5; 5 Seats;59488
MG;2021;ZS;USED;Automatic;0;0 L;0;0 L;0 L;Front;Electric;32953;Wangara, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;39888
Mitsubishi;2021;ASX;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;50184;Bassendean, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;25290
Kia;2021;Sportage;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;60395;Canning Vale, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;29480
Hyundai;2021;I30;USED;Automatic;4;4 cyl;1.6;1.6 L;4 cyl, 1.6 L;Front;Unleaded;22030;Edgewater, WA;Asia;Hatchback;4; 4 Doors;5; 5 Seats;35984
Mazda;2021;CX-5;USED;Automatic;4;4 cyl;2.2;2.2 L;4 cyl, 2.2 L;AWD;Diesel;29860;Edgewater, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;39978
Mercedes-Benz;2021;CLA45;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Premium;26482;Bunbury, WA;Europe;Sedan;4; 4 Doors;5; 5 Seats;117990
Suzuki;2021;Baleno;USED;Automatic;4;4 cyl;1.4;1.4 L;4 cyl, 1.4 L;Front;Unleaded;40262;Edgewater, WA;Asia;Hatchback;4; 4 Doors;5; 5 Seats;19998
Hyundai;2021;Palisade;USED;Automatic;4;4 cyl;2.2;2.2 L;4 cyl, 2.2 L;AWD;Diesel;63616;Canning Vale, WA;Asia;SUV;4; 4 Doors;8; 8 Seats;56980
Lexus;2021;NX350;USED;Automatic;4;4 cyl;2.4;2.4 L;4 cyl, 2.4 L;AWD;Premium;8309;Osborne Park, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;83999
Lexus;2021;NX350;USED;Automatic;4;4 cyl;2.4;2.4 L;4 cyl, 2.4 L;AWD;Premium;14856;Osborne Park, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;81999
